Habitat,Site,Quad,Date,Colony ID,Total area,Discolored area,Pigmented area,Percent discoloration,Genus_species,Months,DHW
FR,FR3,0m,909,Montipora_aequituberculata_1,64.26,6.24,58.02,9.710550887,Montipora_aequituberculata,0,1.440847969
FR,FR3,0m,909,Montipora_aequituberculata_2,163.62,4.82,158.8,2.945850141,Montipora_aequituberculata,0,1.440847969
FR,FR3,0m,909,Pavona_chiriquiensis_1,24.59,10.59,14,43.06628711,Pavona_chiriquiensis,0,1.440847969
FR,FR3,0m,909,Pavona_chiriquiensis_2,26.97,0.05,26.92,0.185391175,Pavona_chiriquiensis,0,1.440847969
FR,FR3,0m,909,Pocillopora_meandrina_2,29.32,0.01,29.31,0.034106412,Pocillopora_meandrina,0,1.440847969
FR,FR3,0m,909,Pocillopora_meandrina_3,4.07,1.4,2.67,34.3980344,Pocillopora_meandrina,0,1.440847969
FR,FR3,10m,909,Hydnophora_microconos_1,830.91,197.27,633.64,23.74144011,Hydnophora_microconos,0,1.440847969
FR,FR3,10m,909,Pavona_chiriquiensis_1,18.48,0.3,18.18,1.623376623,Pavona_chiriquiensis,0,1.440847969
FR,FR3,10m,909,Pavona_clavus_1,113.09,3.66,109.43,3.236360421,Pavona_clavus,0,1.440847969
FR,FR3,15m,909,Pavona_chiriquiensis_1,261.37,25.23,236.14,9.652982362,Pavona_chiriquiensis,0,1.440847969
FR,FR3,15m,909,Pocillopora_meandrina_1,78.97,7.13,71.84,9.028745093,Pocillopora_meandrina,0,1.440847969
FR,FR3,20m,909,Astrea_curta_1,15.92,5.08,10.84,31.90954774,Astrea_curta,0,1.440847969
FR,FR3,20m,909,Hydnophora_microconos_1,265.66,83.31,182.35,31.35963261,Hydnophora_microconos,0,1.440847969
FR,FR3,20m,909,Pavona_chiriquiensis_1,87.05,27.54,59.51,31.63699024,Pavona_chiriquiensis,0,1.440847969
FR,FR3,20m,909,Pavona_duerdeni_1,516.67,114.6,402.07,22.18050206,Pavona_duerdeni,0,1.440847969
FR,FR3,20m,909,Pocillopora_meandrina_2,258.33,27.44,230.89,10.62207254,Pocillopora_meandrina,0,1.440847969
FR,FR3,20m,909,Pocillopora_meandrina_4,2.22,1.63,0.59,73.42342342,Pocillopora_meandrina,0,1.440847969
FR,FR3,25m,909,Astrea_curta_1,47.02,2.88,44.14,6.125053169,Astrea_curta,0,1.440847969
FR,FR3,25m,909,Favites_pentagona_1,312.26,0,312.26,0,Favites_pentagona,0,1.440847969
FR,FR3,25m,909,Goniastrea_stelligera_2,513.5,150.8,362.7,29.36708861,Goniastrea_stelligera,0,1.440847969
FR,FR3,25m,909,Pavona_chiriquiensis_1,67.37,0.28,67.09,0.415615259,Pavona_chiriquiensis,0,1.440847969
FR,FR3,25m,909,Pocillopora_meandrina_2,248.8,3.63,245.17,1.459003215,Pocillopora_meandrina,0,1.440847969
FR,FR3,25m,909,Pocillopora_meandrina_3,364.14,70.6,293.54,19.38814742,Pocillopora_meandrina,0,1.440847969
