Site,Quad,Date,Colony ID,Total area,Discolored area,Pigmented area,Percent discoloration
FR3,0m,909,Goniastrea_stelligera_1,126.97,3.05,123.92,2.402142238
FR3,0m,909,Goniastrea_stelligera_2,41.63,5.63,36,13.52390103
FR3,0m,909,Lobophyllia_hemprichii,1247.12,337.71,909.41,27.07919045
FR3,0m,909,Montipora_aequituberculata,547.01,17.87,529.14,3.266850697
FR3,0m,909,Pavona_chiriquiensis,221.27,14.73,206.54,6.657025354
FR3,0m,909,Pavona_duerdeni_1,7.4,0.01,7.39,0.135135135
FR3,0m,909,Pocillopora_meandrina_1,129.04,4.64,124.4,3.595784253
FR3,0m,909,Pocillopora_meandrina_2,29.32,0.01,29.31,0.034106412
FR3,0m,909,Pocillopora_meandrina_3,4.07,1.4,2.67,34.3980344
FR3,0m,909,Porites_superfusa,460.32,255.21,205.11,55.44186653
FR3,0m,1004,Goniastrea_stelligera_1,140.97,0.81,140.16,0.574590338
FR3,0m,1004,Goniastrea_stelligera_2,35.2,0.4,34.8,1.136363636
FR3,0m,1004,Lobophyllia_hemprichii,759.43,127.92,631.51,16.84421211
FR3,0m,1004,Montipora_aequituberculata,624.62,17.98,606.64,2.878550158
FR3,0m,1004,Pavona_chiriquiensis,117.52,3.33,114.19,2.833560245
FR3,0m,1004,Pavona_duerdeni_1,11.71,0.4,11.31,3.41588386
FR3,0m,1004,Pocillopora_meandrina_1,109.89,0.5,109.39,0.455000455
FR3,0m,1004,Pocillopora_meandrina_2,45.38,0.3,45.08,0.661084178
FR3,0m,1004,Pocillopora_meandrina_3,7.7,0.94,6.76,12.20779221
FR3,0m,1004,Porites_superfusa,14.62,1.37,13.25,9.370725034
FR3,0m,1007,Goniastrea_stelligera_1,158.13,1.32,156.81,0.834756213
FR3,0m,1007,Goniastrea_stelligera_2,61.09,4.18,56.91,6.842363726
FR3,0m,1007,Lobophyllia_hemprichii,740.87,103.08,637.79,13.91337212
FR3,0m,1007,Montipora_aequituberculata,496.37,25.39,470.98,5.115135887
FR3,0m,1007,Pavona_chiriquiensis,210.13,33.2,176.93,15.79974302
FR3,0m,1007,Pocillopora_meandrina_1,143,1.87,141.13,1.307692308
FR3,0m,1007,Pocillopora_meandrina_2,35.83,0.49,35.34,1.367569076
FR3,0m,1007,Pocillopora_meandrina_3,12.96,1.51,11.45,11.65123457
FR3,0m,1007,Porites_superfusa,16.53,3.34,13.19,20.20568663
FR3,0m,1010,Goniastrea_stelligera_1,209.74,0.14,209.6,0.066749309
FR3,0m,1010,Lobophyllia_hemprichii,687.81,45.38,642.43,6.597752286
FR3,0m,1010,Montipora_aequituberculata,626.41,13.47,612.94,2.150348813
FR3,0m,1010,Pavona_chiriquiensis,195.16,4.94,190.22,2.531256405
FR3,0m,1010,Pavona_clavus_3,100.27,0,100.27,0
FR3,0m,1010,Pavona_duerdeni_2,83.41,4.52,78.89,5.419014507
FR3,0m,1010,Pocillopora_meandrina_1,30.88,0,30.88,0
FR3,0m,1010,Pocillopora_meandrina_2,84.1,0.03,84.07,0.035671819
FR3,0m,1010,Pocillopora_meandrina_3,20.46,0.92,19.54,4.49657869
FR3,0m,1010,Porites_superfusa,66.66,13.7,52.96,20.55205521
FR3,0m,1105,Fungia_spp.,2.8,0,2.8,0
FR3,0m,1105,Goniastrea_stelligera_1,301.33,14.94,286.39,4.958019447
FR3,0m,1105,Lobophyllia_hemprichii,614.12,120.82,493.3,19.67367941
FR3,0m,1105,Montipora_aequituberculata,623.55,47.15,576.4,7.561542779
FR3,0m,1105,Pavona_chiriquiensis,278.42,44.44,233.98,15.96149702
FR3,0m,1105,Pavona_clavus_3,25.72,0.78,24.94,3.032659409
FR3,0m,1105,Pavona_duerdeni_2,22.6,14.08,8.52,62.30088496
FR3,0m,1105,Pocillopora_meandrina_1,106.77,1.56,105.21,1.461084574
FR3,0m,1105,Pocillopora_meandrina_2,79.31,0.1,79.21,0.126087505
FR3,0m,1105,Pocillopora_meandrina_3,31.55,5.98,25.57,18.9540412
FR3,0m,1105,Porites_superfusa,72.91,31.08,41.83,42.62789741
FR3,0m,1109,Fungia_spp.,8.87,0.02,8.85,0.225479143
FR3,0m,1109,Goniastrea_stelligera_1,215.6,3.38,212.22,1.567717996
FR3,0m,1109,Lobophyllia_hemprichii,996.81,128.6,868.21,12.90115468
